"colonization_var","response_var","correlation","colonization_pretty","response_pretty"
"am_hyphae_rlc","c",0.116787810313021,"AM Hyphae","Carbon Content"
"am_hyphae_rlc","cn_ratio",0.0011088664126282,"AM Hyphae","C:N Ratio"
"am_hyphae_rlc","d13c",0.13312777026854,"AM Hyphae","δ¹³C"
"am_hyphae_rlc","d15n",-0.214370886530175,"AM Hyphae","δ¹⁵N"
"am_hyphae_rlc","n",-0.11383818415914,"AM Hyphae","Nitrogen Content"
"am_hyphae_rlc","np_ratio",0.0709806665257598,"AM Hyphae","N:P Ratio"
"am_hyphae_rlc","p",0.0152295233621048,"AM Hyphae","Phosphorus Content"
"am_hyphae_rlc","shoot_wt",0.0836779940976676,"AM Hyphae","Shoot Weight"
"am_hyphae_rlc","florets",0.0276898532539558,"AM Hyphae","Florets"
"arb_rlc","c",0.00114885626405337,"Arbuscules","Carbon Content"
"arb_rlc","cn_ratio",-0.0311102116783755,"Arbuscules","C:N Ratio"
"arb_rlc","d13c",0.248399924504465,"Arbuscules","δ¹³C"
"arb_rlc","d15n",0.334151719627227,"Arbuscules","δ¹⁵N"
"arb_rlc","n",0.098553062456941,"Arbuscules","Nitrogen Content"
"arb_rlc","np_ratio",0.0643028094746461,"Arbuscules","N:P Ratio"
"arb_rlc","p",0.0431086247264727,"Arbuscules","Phosphorus Content"
"arb_rlc","shoot_wt",-0.146522165144206,"Arbuscules","Shoot Weight"
"arb_rlc","florets",0.0211510729349691,"Arbuscules","Florets"
"dse_rlc","c",-0.126378534793901,"DSE","Carbon Content"
"dse_rlc","cn_ratio",-0.059187688664871,"DSE","C:N Ratio"
"dse_rlc","d13c",0.0178760951350491,"DSE","δ¹³C"
"dse_rlc","d15n",0.086626853552241,"DSE","δ¹⁵N"
"dse_rlc","n",0.00259222236346204,"DSE","Nitrogen Content"
"dse_rlc","np_ratio",0.146744745836321,"DSE","N:P Ratio"
"dse_rlc","p",-0.243078923152651,"DSE","Phosphorus Content"
"dse_rlc","shoot_wt",0.197455027994556,"DSE","Shoot Weight"
"dse_rlc","florets",0.279982821818727,"DSE","Florets"
"fine_endo_rlc","c",-1,"Fine Endophytes","Carbon Content"
"fine_endo_rlc","cn_ratio",-1,"Fine Endophytes","C:N Ratio"
"fine_endo_rlc","d13c",1,"Fine Endophytes","δ¹³C"
"fine_endo_rlc","d15n",1,"Fine Endophytes","δ¹⁵N"
"fine_endo_rlc","n",1,"Fine Endophytes","Nitrogen Content"
"fine_endo_rlc","np_ratio",1,"Fine Endophytes","N:P Ratio"
"fine_endo_rlc","p",-1,"Fine Endophytes","Phosphorus Content"
"fine_endo_rlc","shoot_wt",1,"Fine Endophytes","Shoot Weight"
"lse_rlc","c",-0.174076673212448,"LSE","Carbon Content"
"lse_rlc","cn_ratio",-0.298138461311254,"LSE","C:N Ratio"
"lse_rlc","d13c",-0.289427468707044,"LSE","δ¹³C"
"lse_rlc","d15n",-0.0993050554712506,"LSE","δ¹⁵N"
"lse_rlc","n",0.223694461142673,"LSE","Nitrogen Content"
"lse_rlc","np_ratio",0.22849689523351,"LSE","N:P Ratio"
"lse_rlc","p",0.0254655269046584,"LSE","Phosphorus Content"
"lse_rlc","shoot_wt",0.0348849133145442,"LSE","Shoot Weight"
"lse_rlc","florets",-0.207841979899911,"LSE","Florets"
"mold_rlc","c",-0.151397535796333,"Mold","Carbon Content"
"mold_rlc","cn_ratio",0.0239292913992822,"Mold","C:N Ratio"
"mold_rlc","d13c",-0.00464214629414133,"Mold","δ¹³C"
"mold_rlc","d15n",-0.163088475929503,"Mold","δ¹⁵N"
"mold_rlc","n",-0.104589063570594,"Mold","Nitrogen Content"
"mold_rlc","np_ratio",0.251731776530759,"Mold","N:P Ratio"
"mold_rlc","p",-0.287075125203021,"Mold","Phosphorus Content"
"mold_rlc","shoot_wt",-0.295174478263898,"Mold","Shoot Weight"
"mold_rlc","florets",-0.346166750328776,"Mold","Florets"
"non_am_rlc","c",-0.0736959725850172,"Non-AM","Carbon Content"
"non_am_rlc","cn_ratio",-0.176399909661148,"Non-AM","C:N Ratio"
"non_am_rlc","d13c",-0.394453969385415,"Non-AM","δ¹³C"
"non_am_rlc","d15n",-0.227496199580919,"Non-AM","δ¹⁵N"
"non_am_rlc","n",0.130143072185211,"Non-AM","Nitrogen Content"
