"genotype","treatment","geno_num","rep","num_of_plants","root_weigher","wet_root_wt","root_biomass_wet_wt","root_amf_wet_wt","dry_root_wt","dry_root_wt_date","root_wt_notes","harvest_date","paper_towel","numeric_pt","algea_color","algea_color_one","algea_color_two","shoot_wt","shoot_weigher","purpleness","shoot_weigh_date","weigh_notes","seed_or_reseed_date","sprout_date","transplant_date","days_from_seed_to_harvest","age","gh_notes","centipede","harvest_notes"
"152961","L",1,"A",1,"LEY",NA,NA,NA,2.12,2025-01-06 14:22:41.815,NA,NA,"1",3,NA,NA,NA,2.44,"ET",1,2024-09-04 10:03:04.506,NA,NA,NA,NA,68,61,"Reseeded 26 Apr, sprouted?","n",NA
"152961","L",1,"B",2,"J",NA,NA,NA,1.37,2024-12-06 14:55:06.308,NA,NA,NA,NA,NA,NA,NA,1.17,"ET",0,2024-08-22 12:05:31.747,"20% Red (striping)",NA,NA,NA,NA,74,"No germ, transplanted 26 Apr, sprouted?","y","Centipede"
"152961","L",1,"C",1,"J",3.61,3.27,0.34,1.26,2024-12-06 15:01:37.284,"Roots fell of sieve into water, loose roots lost",NA,"Med",2,NA,NA,NA,1.08,"ET",1,2024-08-22 12:08:08.821,NA,NA,NA,NA,NA,74,"No germ, transplanted 26 Apr, sprouted ~20 may","y","Centipede"
"152961","S",1,"X",1,"LEY",NA,NA,NA,1.19,2025-01-06 14:22:41.815,NA,NA,"1",3,"black","black",NA,1.16,"ET",2,2024-09-04 10:08:03.089,"P = Red",NA,NA,NA,68,51,"Reseeded 26 Apr, sprouted?","y","Centipede"
"152961","S",1,"Y",1,"LEY",NA,NA,NA,3.06,2025-01-02 11:01:22.413,NA,NA,NA,NA,"black red","black","red",3.63,"ET",0,2024-08-23 15:21:41.718,"20% Red (striping)",NA,NA,NA,74,67,NA,"y","Centipede"
"152961","S",1,"Z",1,"WW",NA,NA,NA,1.33,2025-01-07 13:21:03.705,NA,NA,"little",1,NA,NA,NA,1.69,"ET",0,2024-08-23 13:00:18.089,"20% Red",NA,NA,NA,89,82,NA,"n",NA
"152966","L",2,"A",1,"LEY",NA,NA,NA,1.06,2025-01-02 10:43:50.093,NA,NA,NA,NA,"black","black",NA,1.36,"ET",1,2024-08-26 10:35:56.808,NA,NA,NA,NA,87,80,NA,"n",NA
"152966","L",2,"B",1,"J",1.55,1.32,0.23,0.52,2024-12-06 15:03:17.892,NA,NA,NA,NA,NA,NA,NA,0.65,"ET",1,2024-08-22 11:59:19.762,NA,NA,NA,NA,NA,74,"No germ, transplanted 26 Apr","n","Sieve fell in H2O, caught all roots I believe"
"152966","L",2,"C",2,"J",NA,NA,NA,1.33,2025-01-06 14:22:41.815,NA,NA,NA,NA,"orange","orange",NA,1.32,"ET",0,2024-08-26 13:34:59.498,NA,NA,NA,NA,75,68,NA,"y","Centipede"
"152966","S",2,"X",1,"RP",NA,NA,NA,2.37,2025-01-16 11:20:51.337,NA,NA,NA,NA,NA,NA,NA,2.9,"ET",0,2024-08-26 13:57:16.331,NA,NA,NA,NA,75,68,NA,"n",NA
"152966","S",2,"Y",3,"RP",NA,NA,NA,3.1,2025-02-11 15:14:03.181,NA,NA,NA,NA,NA,NA,NA,3.72,"ET",1,2024-08-22 11:37:37.049,NA,NA,NA,NA,76,69,NA,"n",NA
"152966","S",2,"Z",2,"LEY",NA,NA,NA,0.94,2025-01-06 14:22:41.815,NA,NA,NA,NA,NA,NA,NA,1.57,"ET",1,2024-09-04 10:23:54.963,NA,NA,NA,NA,90,83,"white moldy soil for a few days","n",NA
"155149","L",3,"A",1,"J",NA,NA,NA,1.4,2025-01-14 13:09:33.289,NA,NA,NA,NA,NA,NA,NA,2.74,"ET",1,2024-08-28 10:47:44.744,NA,NA,NA,NA,NA,53,"No germ, transplanted 26 Apr","n",NA
"155149","L",3,"B",1,"LEY",NA,NA,NA,1.55,2025-01-02 10:57:50.514,NA,NA,NA,NA,NA,NA,NA,2.43,"ET",1,2024-08-23 15:19:26.048,NA,NA,NA,NA,74,67,NA,"n",NA
"155149","L",3,"C",1,"J",NA,NA,NA,1.32,2024-12-06 15:16:01.986,NA,NA,NA,NA,NA,NA,NA,1.26,"ET",2,2024-08-23 13:49:37.05,NA,NA,NA,NA,64,56,"Reseeded 26 Apr, reseeded 14 May , sprouted ~22 may","n","Check the tag. this may be 3 Y. it is not"
"155149","S",3,"X",1,"LEY",NA,NA,NA,2.27,2024-12-31 13:11:57.717,NA,NA,"disintegrated",0,"black","black",NA,4.39,"MC",3,2024-08-19 16:26:20.62,NA,NA,NA,NA,85,78,NA,"n",NA
"155149","S",3,"Y",1,"J",3.3,2.97,0.33,0.75,2024-12-06 15:04:48.363,NA,NA,"45296",1,NA,NA,NA,1.26,"ET",1,2024-08-23 13:51:52.255,"We're pretty sure this is 3Y",NA,NA,NA,82,65,"Reseeded 26 Apr, sprouted?","n","no bag"
"155149","S",3,"Z",1,"RP",NA,NA,NA,0.44,2025-02-11 15:14:03.181,NA,NA,NA,NA,NA,NA,NA,0.4,"ET",0,2024-08-22 10:39:41.942,NA,NA,NA,NA,54,41,"Reseeded 26 Apr, sprouted ~9 may","n",NA
"156203","L",4,"A",3,"RP",NA,NA,NA,1.36,2024-12-18 10:28:22.611,NA,NA,"1",3,"yellow","yellow",NA,1.4,"MC",1,2024-08-21 15:06:35.716,NA,NA,NA,NA,84,77,NA,"n",NA
"156203","L",4,"B",3,"RP",NA,NA,NA,1.98,2025-02-11 15:14:03.181,NA,NA,"small",1,NA,NA,NA,1.77,"ET",2,2024-08-22 11:06:27.665,"P = High 1 / Low 2",NA,NA,NA,76,69,NA,"n",NA
"156203","L",4,"C",1,"RP",NA,NA,NA,2.72,2025-02-11 15:14:03.181,NA,NA,"some",1,"orange","orange",NA,2.18,"ET",1,2024-08-22 10:56:12.26,NA,NA,NA,NA,76,69,NA,"n",NA
"156203","S",4,"X",3,"RP",NA,NA,NA,1.88,2025-02-11 15:14:03.181,NA,NA,NA,NA,NA,NA,NA,1.56,"ET",1,2024-08-22 11:15:11.243,NA,NA,NA,NA,76,69,NA,"n",NA
"156203","S",4,"Y",1,"LEY",NA,NA,NA,1.05,2025-01-06 14:22:41.815,NA,NA,"very little",1,NA,NA,NA,1.3,"ET",2,2024-09-04 10:26:16.61,NA,NA,NA,NA,90,83,NA,"n",NA
"156203","S",4,"Z",3,"J",NA,NA,NA,1.49,2025-01-09 12:39:11.59,NA,NA,"1",3,NA,NA,NA,1.46,"MC",1,2024-08-20 15:16:41.464,NA,NA,NA,NA,78,71,NA,"n","2 shoot missing"
"156487","L",5,"A",1,"WW",NA,NA,NA,1.99,2025-01-07 12:59:39.973,NA,NA,NA,NA,NA,NA,NA,2.61,"ET",1,2024-08-23 12:23:54.4,NA,NA,NA,NA,89,82,NA,"y","centipede"
"156487","L",5,"B",2,"RP",NA,NA,NA,3.05,2025-02-11 15:14:03.181,NA,NA,"1",3,"orange","orange",NA,3.3,"ET",0,2024-08-22 11:19:39.411,NA,NA,NA,NA,76,69,NA,"n",NA
"156487","L",5,"C",3,"J",NA,NA,NA,2.3,2025-01-06 14:22:41.815,NA,NA,"big",3,"pink","pink",NA,2.09,"MC",0,2024-08-20 15:16:41.464,NA,NA,NA,NA,78,71,NA,"n",NA
"156487","S",5,"X",2,"LEY",NA,NA,NA,2.02,2024-12-31 10:57:37.777,NA,NA,NA,NA,NA,NA,NA,2.37,"MC",1,2024-08-19 15:35:11.816,NA,NA,NA,NA,77,70,NA,"y","1 guess, centipede"
"156487","S",5,"Y",1,"LEY",NA,NA,NA,4.11,2025-01-06 14:22:41.816,NA,NA,"little",1,NA,NA,NA,5.07,"ET",2,2024-08-22 11:52:17.936,NA,NA,NA,NA,90,83,NA,"n",NA
