"site","rep","start_date","osmocoat","nitrogen","harvest_date","harvest_notes","shoot_wt_date","shoot_biomass","leaf_nutrients","wet_root_wt_date","whole_wet_root","root_dna_and_amf","root_amf","root_bag_weight","root_dna","wet_root_biomass","x_dry_weight","whole_root_dry_weight","dry_root_biomass_wt_date","subsampled_dry_root_biomass_plus_bag","dry_root_biomass","root_shoot","x","misc_notes.x","x_1","x_2","x_3","x_4","x_5","x_6","x_7","extra","RootShootRatio","no_fungus","am_hyphae","dse","lse","arb","coil","spore","vesicle","olpidium","morph_1","morph_2","morph_3","morph_4","mold","plasmodiophorids","dot_line","extra_structures","misc_notes.y","total","non_am","amf","am_hyphae_rc","arb_rc","lse_rc","dse_rc","vesicle_rc","coil_rc","olpidium_rc","plasmodiophorids_rc","spore_rc","morph_1_rc","morph_2_rc","morph_3_rc","morph_4_rc","mold_rc","non_am_rc","amf_rc","am_hyphae_rc_asin","arb_rc_asin","lse_rc_asin","dse_rc_asin","vesicle_rc_asin","coil_rc_asin","olpidium_rc_asin","plasmodiophorids_rc_asin","spore_rc_asin","morph_1_rc_asin","morph_2_rc_asin","morph_3_rc_asin","morph_4_rc_asin","mold_rc_asin","non_am_rc_asin","amf_rc_asin"
"CRE",1,"1 Oct 24","10/28/24","10/25/24; 11/25/24","","Plant most likely dead, Shoot very shriveled","7 Mar 25",5.68,NA,"30 Dec 99",17.25,1.89,0.91,2.98,0.98,15.36,0.15625,2.6953125,"27 Mar 25",5.38,2.4,0.4745268486,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.474526848591549,79,26,3,1,8,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,120,6,35,21.6666666666667,6.66666666666667,0.833333333333333,2.5,0.833333333333333,0,0,0,0,0,1.66666666666667,0,0,0,5,29.1666666666667,0.484170846704953,0.261157410903024,0.0914143583720474,0.158780214645761,0.0914143583720474,0,0,0,0,0,0.129460771003111,0,0,0,0.225513405898131,0.570510447745185
"CRE",4,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",5.87,NA,"30 Dec 99",27.81,2.29,0.85,2.96,1.44,25.52,0.1461598746,4.064706113,"9 Apr 25",6.69,3.73,0.692454193,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.692454193015332,92,12,2,2,6,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,6,19,10.2564102564103,5.12820512820513,1.70940170940171,1.70940170940171,0,0,1.70940170940171,0,0.854700854700855,0,0,0,0,0,5.12820512820513,16.2393162393162,0.32600003255365,0.228437001766331,0.131119475185223,0.131119475185223,0,0,0.131119475185223,0,0.0925822370195072,0,0,0,0,0,0.228437001766331,0.414770990938062
"CRE",6,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",4.72,NA,"30 Dec 99",21.82,2.03,1.06,2.98,0.97,19.79,0.1419909045,3.098241536,"27 Mar 25",5.79,2.81,0.6564071051,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.656407105084746,98,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,104,2,5,3.84615384615385,0.961538461538462,0.961538461538462,0.961538461538462,0,0,0,0,0,0,0,0,0,0,1.92307692307692,4.80769230769231,0.197395559849881,0.0982158957769237,0.0982158957769237,0.0982158957769237,0,0,0,0,0,0,0,0,0,0,0.139123411367399,0.221060567043416
"CRE",7,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",1.54,NA,"30 Dec 99",6.9,1.77,0.77,2.96,1,5.13,0.134502924,0.9280701754,"9 Apr 25",3.65,0.69,0.6026429711,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.602642971038961,108,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,113,5,NA,0,0,0,1.76991150442478,0,0,0,0,0,0,0.884955752212389,0,1.76991150442478,0,4.42477876106195,0,0,0,0,0.133433622567235,0,0,0,0,0,0,0.0942113916990079,0,0.133433622567235,0,0.211934573181246,0
"CRE",8,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",5.86,NA,"30 Dec 99",41.34,3.93,1.7,2.97,2.23,37.41,0.1037155841,4.287602245,"2 Apr 25",6.85,3.88,0.7316727381,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.731672738054608,117,11,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,2,13,8.33333333333333,0.757575757575758,0.757575757575758,0.757575757575758,0.757575757575758,0,0,0,0,0,0,0,0,0,1.51515151515152,9.84848484848485,0.292842771728575,0.0871491018367254,0.0871491018367254,0.0871491018367254,0.0871491018367254,0,0,0,0,0,0,0,0,0,0.123404466734786,0.319216730694443
"CRE",9,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",5.35,NA,"30 Dec 99",34.58,2.35,1.23,3,1.12,32.23,0.09649394974,3.336760782,"19 Mar 25",6.11,3.11,0.6236936041,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.62369360411215,113,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,115,2,NA,0,0,0.869565217391304,0,0,0,0,0,0,0,0.869565217391304,0,0,0,1.73913043478261,0,0,0,0.0933861580326401,0,0,0,0,0,0,0,0.0933861580326401,0,0,0,0.132261367086554,0
"CRE",10,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",5.15,NA,"30 Dec 99",21.91,2.26,0.95,2.96,1.31,19.65,0.1465648855,3.211236641,"27 Mar 25",5.84,2.88,0.6235410954,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.623541095339806,106,1,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,111,4,1,0.900900900900901,0,0,0,0,0,2.7027027027027,0,0,0,0.900900900900901,0,0,0,3.6036036036036,0.900900900900901,0.0950588966766792,0,0,0,0,0,0.165148677414627,0,0,0,0.0950588966766792,0,0,0,0.190990624037377,0.0950588966766792
"MAC",1,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",5.79,NA,"30 Dec 99",31.06,3.27,1.83,2.98,1.44,27.79,0.1122706009,3.487124865,"2 Apr 25",6.1,3.12,0.6022668161,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.602266816062176,47,44,3,1,14,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,3,NA,120,7,63,36.6666666666667,11.6666666666667,0.833333333333333,2.5,4.16666666666667,0,0,0,0,2.5,0,0,0,0,5.83333333333333,52.5,0.650431765480747,0.348581566821116,0.0914143583720474,0.158780214645761,0.205568931161174,0,0,0,0,0.158780214645761,0,0,0,0,0.243934953208488,0.810408591800333
"MAC",3,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",7.28,NA,"30 Dec 99",33.11,3.46,1.53,3,1.93,29.65,0.1086003373,3.595757167,"7 Apr 25",6.22,3.22,0.4939226878,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.493922687774725,38,38,2,1,8,NA,4,19,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,116,9,69,32.7586206896552,6.89655172413793,0.862068965517241,1.72413793103448,16.3793103448276,0,0,0,3.44827586206897,5.17241379310345,0,0,0,0,7.75862068965517,59.4827586206897,0.609370613742947,0.265729118969425,0.0929815910901982,0.131686708058416,0.416665620280349,0,0,0,0.186779461081594,0.229437102507055,0,0,0,0,0.282276743627397,0.880803629888354
"MAC",4,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",4.76,NA,"30 Dec 99",26.56,3.05,1.17,2.95,1.88,23.51,0.1186729051,3.151952361,"2 Apr 25",5.74,2.79,0.6621748657,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.662174865756303,56,38,2,1,12,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,115,6,55,33.0434782608696,10.4347826086957,0.869565217391304,1.73913043478261,1.73913043478261,2.60869565217391,2.60869565217391,0,0,0,0,0,0,0,5.21739130434783,47.8260869565217,0.612401962894256,0.328928482075044,0.0933861580326401,0.132261367086554,0.132261367086554,0.162225181860046,0.162225181860046,0,0,0,0,0,0,0,0.230450458082667,0.76365217800239
"MAC",5,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",3.74,NA,"30 Dec 99",29.25,4.1,1.75,2.98,2.35,25.15,0.1204771372,3.523956262,"7 Apr 25",6.01,3.03,0.9422342948,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.942234294652406,70,18,NA,NA,16,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,37,16.8224299065421,14.9532710280374,0,0,1.86915887850467,0.934579439252336,0,0,0,0,0,0,0,0,0,34.5794392523364,0.422620232871841,0.397044658200629,0,0,0.137146718434314,0.0968248677465541,0,0,0,0,0,0,0,0,0,0.628636974879516
"MAC",6,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",9.19,NA,"30 Dec 99",37.04,4.51,2.14,2.96,2.37,32.53,0.1364893944,5.055567169,"2 Apr 25",7.4,4.44,0.5501161228,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.550116122850925,36,30,NA,1,10,NA,NA,35,NA,13,NA,3,NA,NA,NA,NA,1,NA,127,17,75,23.6220472440945,7.8740157480315,0.78740157480315,0,27.5590551181102,0,0,0,0,10.2362204724409,0,2.36220472440945,0,0,13.3858267716535,59.0551181102362,0.50753583076473,0.284426216095663,0.088852516493047,0,0.55267656422092,0,0,0,0,0.325667149472109,0,0.154306276998427,0,0,0.374563643941421,0.876451779847117
"MAC",8,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",7.53,NA,"30 Dec 99",34.62,4.79,2.18,2.99,2.61,29.83,0.1062688569,3.679027824,"19 Mar 25",6.16,3.17,0.4885827124,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.488582712350598,62,37,5,3,5,NA,1,10,6,12,NA,NA,NA,NA,NA,NA,NA,NA,141,26,53,26.241134751773,3.54609929078014,2.12765957446809,3.54609929078014,7.09219858156028,0,4.25531914893617,0,0.709219858156028,8.51063829787234,0,0,0,0,18.4397163120567,37.5886524822695,0.537815398976105,0.189441986812943,0.146387259294249,0.189441986812943,0.269564636388503,0,0.20777600399223,0,0.0843150562959364,0.296034998489841,0,0,0,0,0.443844811538859,0.65997341888603
"MAC",10,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","","7 Mar 25",7.99,NA,"30 Dec 99",31.73,2.35,0.85,2.97,1.5,29.38,0.1228727025,3.898750851,"19 Mar 25",6.58,3.61,0.4879537986,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,0.487953798623279,45,27,2,1,8,NA,1,10,10,15,NA,NA,NA,NA,NA,NA,2,NA,117,28,46,23.0769230769231,6.83760683760684,0.854700854700855,1.70940170940171,8.54700854700855,0,8.54700854700855,0,0.854700854700855,12.8205128205128,0,0,0,0,23.9316239316239,39.3162393162393,0.501093013265357,0.264563707053119,0.0925822370195072,0.131119475185223,0.29668607169102,0,0.29668607169102,0,0.0925822370195072,0.36618656020528,0,0,0,0,0.511171796524854,0.677730402235898
"FUN",1,"1 Oct 24","10/28/24","10/25/24; 11/25/24","26 Feb 2025","Plant likely died, Very shriveled shoot","7 March 25",11.56,NA,"30 Dec 99",37.92,2.42,1.19,2.97,1.23,35.5,0.1281690141,4.860169014,"19 Mar 25",7.52,4.55,0.4204298455,NA,"Pot drained out approx. 1/4 of the sand in the pot, on 12/4/24 -- backfilled with more sterile sand 12/08/24",NA,NA,NA,NA,NA,NA,NA,NA,0.42042984550173,35,50,1,NA,19,NA,NA,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,115,10,70,43.4782608695652,16.5217391304348,0,0.869565217391304,0.869565217391304,0,0,0,0,0,7.82608695652174,0,0,0,8.69565217391304,60.8695652173913,0.719994415358595,0.418586530016836,0,0.0933861580326401,0.0933861580326401,0,0,0,0,0,0.283535204889286,0,0,0,0.299334026417771,0.894968692896214
