genotype,treatment,geno_num,rep,num_of_plants,root_weigher,wet_root_wt,root_biomass_wet_wt,root_amf_wet_wt,dry_root_wt,dry_root_wt_date,root_wt_notes,harvest_date,paper_towel,numeric_pt,algea_color,algea_color_one,algea_color_two,shoot_wt,shoot_weigher,purpleness,shoot_weigh_date,weigh_notes,gh_notes,centipede,harvest_notes,num_shoot_wt
152961,L,1,A,1,LEY,NA,NA,NA,2.12,22:42:00,NA,45476,1,3,NA,NA,NA,2.44,ET,1,03:04.3,NA,"Reseeded 26 Apr, sprouted?",n,NA,2.44
152961,L,1,B,2,J,NA,NA,NA,1.37,55:06:00,NA,45482,NA,NA,NA,NA,NA,1.17,ET,0,05:31.8,20% Red (striping),"No germ, transplanted 26 Apr, sprouted?",y,Centipede,0.585
152961,L,1,C,1,J,3.61,3.27,0.34,1.26,01:37:00,"Roots fell of sieve into water, loose roots lost",45482,Med,2,NA,NA,NA,1.08,ET,1,08:09.0,NA,"No germ, transplanted 26 Apr, sprouted ~20 may",y,Centipede,1.08
152961,S,1,X,1,LEY,NA,NA,NA,1.19,22:42:00,NA,45476,1,3,black,black,NA,1.16,ET,2,08:03.3,P = Red,"Reseeded 26 Apr, sprouted?",y,Centipede,1.16
152961,S,1,Y,1,LEY,NA,NA,NA,3.06,01:22:00,NA,45460,NA,NA,black red,black,red,3.63,ET,0,21:42.0,20% Red (striping),NA,y,Centipede,3.63
152961,S,1,Z,1,WW,NA,NA,NA,1.33,21:03:00,NA,45475,little,1,NA,NA,NA,1.69,ET,0,00:18.4,20% Red,NA,n,NA,1.69
152966,L,2,A,1,LEY,NA,NA,NA,1.06,43:50:00,NA,45473,NA,NA,black,black,NA,1.36,ET,1,35:56.8,NA,NA,n,NA,1.36
152966,L,2,B,1,J,1.55,1.32,0.23,0.52,03:17:00,NA,45482,NA,NA,NA,NA,NA,0.65,ET,1,59:19.4,NA,"No germ, transplanted 26 Apr",n,"Sieve fell in H2O, caught all roots I believe",0.65
152966,L,2,C,2,J,NA,NA,NA,1.33,22:42:00,NA,45461,NA,NA,orange,orange,NA,1.32,ET,0,34:59.8,NA,NA,y,Centipede,0.66
152966,S,2,X,1,RP,NA,NA,NA,2.37,20:51:00,NA,45461,NA,NA,NA,NA,NA,2.9,ET,0,57:16.4,NA,NA,n,NA,2.9
152966,S,2,Y,3,RP,NA,NA,NA,3.1,14:03:00,NA,45462,NA,NA,NA,NA,NA,3.72,ET,1,37:37.3,NA,NA,n,NA,1.24
152966,S,2,Z,2,LEY,NA,NA,NA,0.94,22:42:00,NA,45476,NA,NA,NA,NA,NA,1.57,ET,1,23:55.4,NA,white moldy soil for a few days,n,NA,0.785
155149,L,3,A,1,J,NA,NA,NA,1.4,09:33:00,NA,45461,NA,NA,NA,NA,NA,2.74,ET,1,47:44.4,NA,"No germ, transplanted 26 Apr",n,NA,2.74
