"genotype","common_name","taxonomy","grin_origin","line","name","origin","anthesis","use","type","photoperiod","subspecies","growth","taxa","anthesis_date_days","harvest_date_days","total_fresh_weight_kg","brix_maturity","brix_milk","dry_weight_kg","stalk_height_cm","dry_tons_per_acre","adf_dm","ndf_dm","nfc_dm","lignin_dm","pericarp_pigmentation"
"22913","CHINESE AMBER'","S. bicolor","China","22913","CHINESE AMBER","Tsungming Island, China",80,"Forage",NA,NA,"Bicolor",NA,22913,80,120,1.575,12.9,9.35,0.305,303,9.76,NA,NA,NA,NA,NA
"92270","IS 12748","S. bicolor","China (Beijing shi)","92270","IS 12748","Beijing Shi, China",70,"Forage",NA,NA,"Bicolor",NA,92270,70,104,0.62,13.5,9.25,0.17,195,5.44,44.73,70.4,24.97,6.52,"Brown"
"152961","MALNAL","S. bicolor","Sudan","152961","MALNAL","Equatoria, Sudan",117.5,NA,NA,NA,"Bicolor",NA,152961,117.5,154.5,1.803,10.75,13.8,0.555,347.5,17.76,40.29,58.36,36.44,5.97,"White"
"152966","Ayuak","S. bicolor","Sudan","152966","AYUAK","Equatoria, Sudan",105,NA,NA,NA,"Bicolor",NA,152966,105,158,1.94,10.85,14.1,0.495,369,15.84,40.4,60.57,34.49,6.88,"Yellow"
"155149","Dhurra No. 7","S. bicolor","Yemen","155149","DHURRA NO. 7","Dhala, Yemen",NA,NA,NA,"Sensitive","Bicolor",NA,155149,NA,159,6.325,11.5,NA,0.795,475,25.44,45.05,65.26,30.97,7.15,"Yellow"
"156203","MN 2089","S. bicolor","Malawi","156203","MN 2089","Mangochi, Malawi",NA,NA,NA,"Sensitive","Bicolor",NA,156203,NA,159,2.605,9.7,NA,0.38,372.5,12.16,39.67,58.34,36.48,5.56,"Red"
"156487","MN 2363","S. bicolor","Tanzania","156487","MN 2363","Itigi, Tanzania",NA,NA,NA,"Sensitive","Bicolor",NA,156487,NA,158,3.098,7.9,NA,0.635,395.5,20.32,47.95,70.9,25.28,7.52,"Red"
"157033","Ifube No. 18","S. bicolor","Kenya","157033","IFUBE NO. 18","Kenya",122,NA,NA,"Sensitive","Bicolor",NA,157033,122,158.5,2.08,13.35,10.8,0.48,304.5,15.36,42.15,61.7,32.06,5.63,"Brown"
"176766","MN 2873","S. bicolor","Turkey","176766","MN 2873","Aksehir, Turkey",82,"Broomcorn",NA,NA,"Bicolor",NA,176766,82,112,1.133,7.2,6.7,0.3525,322.5,11.28,45.33,72.04,20.45,7.24,"Red"
"179749","Juar","S. bicolor","India","179749","JUAR","Pipar, Jodhpur, India",71,"Forage",NA,NA,"Bicolor",NA,179749,71,116,0.583,9.05,10.05,0.16,200,5.12,43.41,66.43,25.83,6.49,"Brown"
"181080","HONEY SORGHUM","S. bicolor","India","181080","HONEY SORGHUM","Sakrand, Pakistan",77,"Forage",NA,NA,"Bicolor",NA,181080,77,108,0.89,8.55,8.15,0.1675,234.5,5.36,43.06,72,21.23,6.48,NA
"181083","KAMANDRI","S. bicolor","India","181083","KAMANDRI","Sakrand, Pakistan",70,"Forage",NA,NA,"Bicolor",NA,181083,70,114.5,1.025,9.65,10.15,0.1525,180,4.88,38.7,59.56,32.18,4,"Brown"
"217691","NAGAD EL MUR","S. bicolor","Sudan","217691","NAGAD EL MUR","Wad Madani, Sudan",104,"Forage",NA,NA,"Bicolor",NA,217691,104,157,1.165,9,12.65,0.185,259,5.92,40.13,60.08,32.04,5.66,"White"
"218112","IS 2352","S. bicolor","Pakistan","218112","IS 2352","Dera Ismail Khan, Pakistan",69,"Grain",NA,NA,"Bicolor",NA,218112,69,104,1.3,12.75,12.25,0.2925,195,9.36,32.74,51.2,44.08,5.28,"White"
"221548","AJEBICHINKA","S. bicolor","Nigeria","221548","AJEBICHINKA","Sokoto, Nigeria",99.5,"Forage",NA,"Insensitive","Bicolor",NA,221548,99.5,146,1.913,10.9,13.25,0.305,257.5,9.76,46.54,68.8,27.74,8.6,NA
"226096","K.50188","S. bicolor","Kenya","226096","K.50188","Kenya",81,"Forage",NA,"Insensitive","Verticilliflorum","Perennial",226096,81,122,0.68,7.85,6.45,0.17,336,5.44,52.06,84.49,9.47,6.18,"Red"
"300117","Tabuckigrass","S. bicolor","South Africa","300117","TABUCKIGRASS","Mokopane, South Africa",NA,"Forage",NA,"Insensitive","Verticilliflorum","Either",300117,NA,NA,NA,NA,NA,NA,NA,NA,48.53,77.67,15.8,6.89,"Brown"
"300118","294","S. bicolor","South Africa","300118","294","Tzaneen, South Africa",92.5,"Forage",NA,"Sensitive","Verticilliflorum","Either",300118,92.5,129,0.395,9.25,9.7,0.21,332,6.72,50.86,76.27,17.19,7.2,"Brown"
"329338","IS 11096","S. bicolor","Ethiopia","329338","IS 11096","Bako, Ethiopia",106.5,"Forage",NA,"Sensitive","Bicolor",NA,329338,106.5,155,1.435,9.1,10.7,0.355,400,11.36,47.98,68.27,26.94,7.83,"Brown"
"329435","Mashila","S. bicolor","Ethiopia","329435","MASHILA","Asmara, Ethiopia",80,"Forage",NA,NA,"Bicolor",NA,329435,80,118.5,0.71,7.95,6.2,0.1075,153.5,3.44,49.02,73.62,15.09,7.1,"Yellow"
