"Variable","f","n_per_group"
"amf_in_dry_soil",0.837066674037445,6
"rlc_p",0.550375939996534,5
"dse_in_dry_soil",1.74149884278581,3
"amf_tot",0.805258789097173,7
"dse_tot",1.00421141978412,5
"spores",0.254756083836394,62
"dse_hyphae",0.976013208262554,5
"fine_amf",1.62453253215959,3
"coarse_amf",0.534383841181203,13
"ves_and_arb",NA,NA
"dse_and_am",NA,NA
"vesicle_or_spore",0.935152289160203,3
"dse",0.878970881761326,3
"lse",NA,NA
"am_hyphae",0.560810058538964,5
"no_fungus",0.789942974043869,3
"arb",0.67229498525776,4
"olpidium",0.504001424753977,6
"tot",NA,NA
